,Execution Time,Maximum Cost,Total Cost,Number of Recharges,Number of Desired Edges Traversed,Success Rate
0,0.057,29.0,29.0,0,2,25.0
1,0.01,40.0,681.0,6,9,100.0
2,0.024,35.0,1089.0,11,16,100.0
3,0.006,59.0,725.0,4,7,100.0
4,0.009,52.0,2560.0,6,9,100.0
5,0.006,15.0,197.0,4,8,100.0
6,0.009,7.0,122.0,4,8,100.0
7,0.015,12.0,261.0,6,10,100.0
8,0.012,10.0,211.0,6,10,100.0
9,0.033,14.0,319.0,7,13,100.0
10,0.008,16.0,66.0,1,3,75.0
11,0.012,16.0,247.0,5,8,100.0
12,0.015,35.0,562.0,5,8,100.0
13,0.011,15.0,352.0,8,11,100.0
14,0.021,13.0,377.0,8,14,100.0
15,0.124,12.0,416.0,9,18,100.0
16,0.061,39.0,107.0,0,3,42.857142857142854
17,0.095,44.0,103.0,0,3,33.33333333333333
18,0.011,44.0,534.0,4,7,100.0
19,0.015,40.0,609.0,5,8,100.0
20,0.531,18.0,390.0,7,13,81.25
21,0.476,18.0,561.0,10,16,88.88888888888889
22,0.007,36.0,667.0,6,9,100.0
